time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
3, 1, 1263, 1, 1060, 1060, 1, 1060, 1060, 1, 1.642076, 0.500539, 0.998922, 1.000000, 1.000000, 0, 1.000000, 437, 1, true
24, 2, 1263, 2, 1073, 20, 2, 1073, 20, 2, 4.212827, 1.001510, 0.998490, 1.000000, 1.000000, 0, 1.000000, 437, 2, true
26, 3, 1263, 3, 1078, 20, 3, 1078, 20, 3, 7.689448, 1.502914, 0.998057, 1.000000, 1.000000, 0, 1.000000, 437, 3, true
30, 4, 1264, 4, 1081, 18, 4, 1061, 1061, 1, 12.081538, 2.004749, 0.997625, 1.000000, 1.000000, 0, 1.000000, 437, 2, true
32, 6, 1264, 6, 1086, 17, 6, 1076, 17, 3, 21.535365, 3.008712, 0.997096, 1.000000, 1.000000, 0, 1.000000, 437, 4, true
36, 7, 1265, 7, 1086, 17, 6, 1024, 1024, 1, 29.038379, 3.512156, 0.996527, 1.000000, 1.000000, 0, 1.000000, 437, 6, true
39, 8, 1266, 8, 1086, 15, 6, 1059, 1059, 1, 34.727180, 4.014535, 0.996366, 1.000000, 1.000000, 0, 1.000000, 437, 8, true
41, 9, 1266, 9, 1100, 25, 6, 1079, 40, 2, 39.599502, 4.516603, 0.996310, 1.000000, 1.000000, 0, 1.000000, 437, 6, true
45, 11, 1267, 10, 1102, 24, 7, 1067, 1067, 1, 52.253706, 5.522074, 0.995554, 0.950000, 0.500000, 1004, 1.000000, 437, 5, true
48, 12, 1267, 11, 1104, 24, 8, 1080, 14, 2, 61.406437, 6.026079, 0.995221, 0.954545, 0.500000, 1004, 1.000000, 437, 5, true
64, 14, 1267, 13, 5420, 4334, 7, 5403, 4331, 4, 148.660468, 7.036310, 0.994380, 0.961538, 0.500000, 1004, 1.000000, 437, 5, true
102, 15, 1268, 13, 5434, 1274, 8, 4136, 4136, 1, 75.936709, 7.533231, 0.995136, 0.961538, 0.500000, 1004, 1.000000, 437, 4, true
113, 16, 1269, 14, 5434, 1271, 8, 1046, 1046, 1, 90.085819, 8.039792, 0.994593, 0.964286, 0.500000, 1004, 1.000000, 437, 4, true
121, 18, 1271, 16, 5434, 1271, 8, 1052, 1052, 1, 111.490308, 9.049597, 0.994056, 0.968750, 0.500000, 1004, 1.000000, 437, 5, true
129, 20, 1271, 18, 5807, 1568, 9, 4083, 3028, 2, 225.374465, 10.067772, 0.992790, 0.972222, 0.500000, 1004, 1.000000, 437, 6, true
140, 22, 1272, 20, 5812, 1572, 10, 1053, 1053, 1, 236.093173, 11.080573, 0.992242, 0.975000, 0.500000, 1004, 1.000000, 437, 5, true
147, 23, 1272, 21, 5846, 1232, 11, 4089, 3051, 2, 293.550919, 11.585836, 0.992102, 0.976190, 0.500000, 1004, 1.000000, 437, 6, true
156, 28, 1272, 26, 5847, 1231, 11, 4109, 3034, 5, 372.333777, 14.126119, 0.990557, 0.980769, 0.500000, 1004, 1.000000, 437, 5, true
450, 31, 1280, 28, 5847, 1230, 10, 1043, 1043, 1, 414.910807, 15.644401, 0.990251, 0.982143, 0.500000, 1004, 1.000000, 437, 5, true
479, 33, 1281, 30, 5849, 159, 11, 5287, 4246, 2, 646.263983, 16.675640, 0.988922, 0.983333, 0.500000, 1004, 1.000000, 437, 4, true
556, 34, 1282, 31, 5849, 159, 11, 1063, 1063, 1, 574.764308, 17.183772, 0.988755, 0.983871, 0.500000, 1004, 1.000000, 437, 4, true
632, 38, 1285, 35, 5852, 160, 11, 1047, 1047, 1, 666.801726, 19.216894, 0.988150, 0.985714, 0.500000, 1004, 1.000000, 437, 1, true
739, 46, 1290, 43, 5852, 154, 9, 1060, 1060, 1, 942.744109, 23.325926, 0.985394, 0.988372, 0.500000, 1004, 1.000000, 437, 3, true
805, 51, 1291, 47, 5853, 155, 10, 1047, 1047, 1, 1116.638746, 25.898861, 0.983922, 0.989362, 0.500000, 1004, 1.000000, 437, 1, true
846, 70, 1292, 66, 5853, 155, 10, 1086, 7, 5, 2082.530752, 35.803784, 0.976595, 0.992424, 0.500000, 1004, 1.000000, 437, 3, true
917, 82, 1293, 78, 5853, 154, 9, 1038, 1038, 1, 2734.141520, 42.079794, 0.973221, 0.993590, 0.500000, 1004, 1.000000, 437, 5, true
974, 84, 1293, 79, 5854, 154, 9, 1091, 49, 3, 2822.509580, 43.122732, 0.972826, 0.993671, 0.500000, 1004, 1.000000, 437, 5, true
1024, 113, 1293, 107, 5854, 154, 9, 1109, 13, 5, 5037.628416, 58.613214, 0.962149, 0.995327, 0.500000, 1004, 1.000000, 437, 7, true
1097, 118, 1294, 111, 5855, 155, 10, 1086, 29, 2, 5296.982380, 61.243383, 0.961527, 0.995495, 0.500000, 1004, 1.000000, 437, 6, true
1152, 139, 1296, 124, 5856, 148, 8, 4104, 3008, 4, 6200.448220, 72.385276, 0.956997, 0.984543, 0.250000, 186, 1.000000, 437, 8, true
1211, 179, 1298, 158, 5858, 149, 9, 1116, 24, 3, 10221.283158, 94.300189, 0.943976, 0.981013, 0.250000, 186, 1.000000, 437, 19, true
1272, 215, 1299, 186, 5858, 147, 7, 1073, 10, 3, 14485.000354, 114.238156, 0.933116, 0.971953, 0.200000, 1263, 1.000000, 437, 31, true
1336, 234, 1301, 199, 5858, 146, 6, 1102, 20, 3, 16525.611625, 124.833817, 0.928752, 0.973199, 0.200000, 1263, 1.000000, 437, 32, true
1404, 276, 1302, 230, 5858, 144, 4, 3450, 2344, 4, 22576.859124, 148.821931, 0.915438, 0.966304, 0.166667, 186, 1.000000, 437, 38, true
1867, 282, 1303, 235, 5858, 143, 3, 1068, 1068, 1, 23444.895854, 152.328965, 0.913506, 0.967021, 0.166667, 186, 1.000000, 437, 38, true
2275, 317, 1344, 259, 5859, 111, 4, 2318, 2318, 1, 37794.184542, 176.925535, 0.877300, 0.965251, 0.166667, 186, 1.000000, 437, 47, true
2567, 319, 1356, 261, 5861, 113, 5, 2359, 2359, 1, 31188.337831, 174.829206, 0.897185, 0.965517, 0.166667, 186, 1.000000, 437, 39, true
2850, 320, 1359, 261, 5866, 118, 6, 1089, 1089, 1, 28810.049130, 174.236875, 0.904305, 0.965517, 0.166667, 186, 1.000000, 437, 37, true
3007, 321, 1359, 261, 5867, 119, 7, 1112, 73, 2, 28161.735575, 174.440347, 0.906425, 0.965517, 0.166667, 186, 1.000000, 437, 36, true
3161, 323, 1361, 263, 5869, 116, 7, 1073, 1073, 1, 28714.751444, 175.702693, 0.905341, 0.965779, 0.166667, 186, 1.000000, 437, 32, true
3342, 324, 1361, 263, 5869, 113, 6, 1165, 120, 2, 28553.947956, 176.160599, 0.905869, 0.965779, 0.166667, 186, 1.000000, 437, 32, true
3626, 326, 1364, 263, 5870, 111, 7, 949, 949, 1, 29471.609049, 177.596518, 0.903788, 0.965961, 0.166667, 186, 1.000000, 437, 29, true
3985, 328, 1367, 263, 5874, 114, 7, 2338, 2338, 1, 29116.962042, 178.434531, 0.905303, 0.964693, 0.166667, 186, 1.000000, 437, 25, true
4341, 332, 1368, 265, 5876, 116, 9, 1142, 51, 4, 29510.575478, 180.632144, 0.905166, 0.965139, 0.166667, 186, 1.000000, 437, 21, true
