time, #execs, #seeds, #items, #covered, #singletons, #sglt_clusts, #coveredR, #singletonsR, #sglt_clustsR, ML_sglt, ML_sglt_clusts, remainW, lesti_mean, lesti_min, lesti_min_id, lesti_max, lesti_max_id, #foundnew, done
2, 1, 307, 1, 791, 791, 1, 791, 791, 1, 5.158666, 0.502947, 0.994107, 1.000000, 1.000000, 0, 1.000000, 7, 1, true
15, 2, 308, 2, 856, 298, 2, 623, 623, 1, 8.378130, 1.005292, 0.994708, 1.000000, 1.000000, 0, 1.000000, 7, 2, true
17, 3, 308, 3, 1014, 340, 3, 863, 284, 2, 23.749479, 1.514136, 0.990576, 1.000000, 1.000000, 0, 1.000000, 7, 3, true
23, 4, 309, 4, 1099, 304, 4, 828, 828, 1, 29.819077, 2.017654, 0.991173, 1.000000, 1.000000, 0, 1.000000, 7, 4, true
27, 5, 310, 5, 1226, 374, 5, 819, 819, 1, 40.759828, 2.524253, 0.990299, 1.000000, 1.000000, 0, 1.000000, 7, 5, true
32, 6, 311, 6, 1267, 389, 6, 692, 692, 1, 65.835440, 3.042313, 0.985896, 1.000000, 1.000000, 0, 1.000000, 7, 6, true
37, 7, 312, 7, 1487, 512, 7, 998, 998, 1, 99.684226, 3.556836, 0.983761, 1.000000, 1.000000, 0, 1.000000, 7, 7, true
44, 8, 313, 8, 1493, 470, 8, 730, 730, 1, 119.767881, 4.074143, 0.981464, 1.000000, 1.000000, 0, 1.000000, 7, 8, true
48, 9, 314, 9, 1571, 469, 9, 869, 869, 1, 157.052847, 4.593716, 0.979174, 1.000000, 1.000000, 0, 1.000000, 7, 9, true
52, 10, 315, 10, 1577, 319, 10, 887, 887, 1, 195.402474, 5.115543, 0.976891, 1.000000, 1.000000, 0, 1.000000, 7, 10, true
57, 11, 316, 11, 1599, 336, 11, 763, 763, 1, 204.832624, 5.623609, 0.977526, 1.000000, 1.000000, 0, 1.000000, 7, 11, true
253, 12, 317, 12, 1686, 397, 12, 1117, 1117, 1, 288.880766, 6.160792, 0.973201, 1.000000, 1.000000, 0, 1.000000, 7, 12, true
1660, 13, 318, 13, 1713, 416, 13, 690, 690, 1, 274.995183, 6.664063, 0.974760, 1.000000, 1.000000, 0, 1.000000, 7, 13, true
1956, 23, 343, 22, 2746, 819, 22, 34, 34, 1, 746.960811, 11.916725, 0.963763, 1.000000, 1.000000, 0, 1.000000, 7, 21, true
2054, 32, 356, 30, 3049, 981, 27, 34, 34, 1, 1242.924624, 16.733094, 0.954182, 1.000000, 1.000000, 0, 1.000000, 7, 30, true
2298, 37, 443, 34, 4041, 1169, 31, 901, 901, 1, 1535.400207, 19.290620, 0.957264, 1.000000, 1.000000, 0, 1.000000, 7, 34, true
2484, 38, 476, 35, 4046, 1159, 32, 893, 893, 1, 1338.309964, 19.683429, 0.964030, 1.000000, 1.000000, 0, 1.000000, 7, 35, true
2840, 40, 577, 36, 4086, 1102, 34, 1049, 1049, 1, 1156.856602, 20.609764, 0.969512, 1.000000, 1.000000, 0, 1.000000, 7, 36, true
3012, 41, 589, 37, 4087, 1102, 35, 1037, 1037, 1, 1075.158567, 21.065146, 0.972432, 1.000000, 1.000000, 0, 1.000000, 7, 37, true
3175, 43, 596, 38, 4095, 1108, 37, 818, 818, 1, 1094.784071, 22.090706, 0.972525, 1.000000, 1.000000, 0, 1.000000, 7, 38, true
3689, 44, 700, 39, 4204, 1146, 37, 1611, 1611, 1, 1000.307997, 22.527657, 0.976016, 1.000000, 1.000000, 0, 1.000000, 7, 39, true
4051, 46, 741, 41, 4223, 1058, 39, 1378, 1378, 1, 1016.993551, 23.533888, 0.976787, 1.000000, 1.000000, 0, 1.000000, 7, 38, true
4340, 48, 755, 41, 4245, 1048, 41, 719, 719, 1, 1036.441714, 24.543845, 0.977340, 1.000000, 1.000000, 0, 1.000000, 7, 37, true
4651, 50, 765, 42, 4259, 1054, 42, 1081, 1081, 1, 1105.131053, 25.577574, 0.976897, 1.000000, 1.000000, 0, 1.000000, 7, 40, true
4951, 53, 811, 43, 4282, 1063, 45, 650, 650, 1, 1094.685220, 27.086755, 0.977858, 1.000000, 1.000000, 0, 1.000000, 7, 43, true
5230, 54, 835, 43, 4286, 1065, 46, 1013, 1013, 1, 1066.817247, 27.571522, 0.978833, 1.000000, 1.000000, 0, 1.000000, 7, 44, true
5573, 56, 842, 43, 4291, 1063, 46, 1046, 1046, 1, 1093.346837, 28.593648, 0.978674, 0.997093, 0.875000, 346, 1.000000, 7, 45, true
5906, 60, 875, 44, 4308, 1057, 48, 740, 740, 1, 1091.786055, 30.605498, 0.979042, 0.986111, 0.500000, 154, 1.000000, 7, 50, true
6331, 65, 893, 47, 4349, 1056, 52, 684, 684, 1, 1251.039467, 33.192127, 0.977931, 0.986998, 0.500000, 154, 1.000000, 7, 54, true
6713, 68, 905, 49, 4358, 1056, 54, 875, 875, 1, 1364.531674, 34.746955, 0.977278, 0.987755, 0.500000, 154, 1.000000, 7, 55, true
7124, 70, 928, 49, 4361, 1046, 56, 1356, 1356, 1, 1327.445664, 35.750033, 0.977837, 0.987755, 0.500000, 154, 1.000000, 7, 57, true
7535, 76, 949, 52, 4376, 1043, 60, 625, 625, 1, 1445.111669, 38.851053, 0.976894, 0.988636, 0.500000, 154, 1.000000, 7, 61, true
8069, 78, 964, 52, 4379, 1045, 61, 857, 857, 1, 1458.945657, 39.859503, 0.977270, 0.988782, 0.500000, 154, 1.000000, 7, 61, true
8625, 82, 971, 54, 4397, 1057, 65, 1510, 1510, 1, 1627.459522, 41.941929, 0.976348, 0.989418, 0.500000, 154, 1.000000, 7, 64, true
9104, 93, 1000, 59, 4532, 901, 64, 1949, 1141, 3, 1874.545741, 47.575313, 0.974077, 0.952260, 0.250000, 122, 1.000000, 7, 76, true
9853, 98, 1011, 60, 4566, 923, 65, 772, 772, 1, 1989.468166, 50.140926, 0.973863, 0.952315, 0.250000, 122, 1.000000, 7, 78, true
